country,obs,year,month,pday,old_day,evday,form,form_recode,goal_recode,goal_recode2,goal,part,partmedian,frame,orgdummy,title,dataset,frame1
NL,31,1975,5,,26,,other symbolic/ludic non-confrontational forms,demonstrative,"Squatters, autonomous youth",cultural liberalism,,.05,.050000001,,0,,old data sets,local
NL,32,1975,6,,3,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.1,.1,,0,,old data sets,national
NL,33,1975,6,,9,,"demonstration, protest march",demonstrative,Environment,environment,,1.5,1.5,,0,,old data sets,local
NL,34,1975,6,,16,,"demonstration, protest march",demonstrative,Farmers,economic (others),,1,1,,0,,old data sets,national
NL,35,1975,6,,23,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.15,.15000001,,0,,old data sets,international
NL,36,1975,6,,23,,protest meeting,demonstrative,Anti-Nuclear Energy,environment,,.55,.55000001,,0,,old data sets,national
NL,37,1975,7,,7,,"demonstration, protest march",demonstrative,Foreigners external,others,,.5,.5,,0,,old data sets,international
NL,38,1975,7,,7,,"demonstration, protest march",demonstrative,Women,cultural liberalism,,.2,.2,,0,,old data sets,international
NL,39,1975,8,,4,,blockade or other forms of blocking,confrontational,Farmers,economic (others),,.5,.5,,0,,old data sets,national
NL,40,1975,8,,11,,blockade or other forms of blocking,confrontational,Labor,economic (others),,.1,.1,,1,,old data sets,national
NL,41,1975,8,,18,,blockade or other forms of blocking,confrontational,Others,others,,.12,.12,,0,,old data sets,local
NL,42,1975,8,,25,,"demonstration, protest march",demonstrative,Environment,environment,,1,1,,1,,old data sets,local
NL,43,1975,8,,25,,blockade or other forms of blocking,confrontational,Others,others,,.8,.80000001,,1,,old data sets,national
NL,44,1975,9,,1,,"demonstration, protest march",demonstrative,Foreigners external,others,,.75,.75,,1,,old data sets,international
NL,45,1975,9,,1,,hunger strike,confrontational,Solidarity external,cultural liberalism,,.025,.025,,0,,old data sets,international
NL,46,1975,9,,8,,hunger strike,confrontational,Foreigners external,others,,.006,.0060000001,,1,,old data sets,international
NL,47,1975,9,,8,,"demonstration, protest march",demonstrative,Anti-Nuclear Energy,environment,,.5,.5,,0,,old data sets,regional
NL,48,1975,9,,22,,"demonstration, protest march",demonstrative,Labor,welfare,,5,5,,0,,old data sets,national
NL,49,1975,9,,29,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.5,.5,,0,,old data sets,international
NL,50,1975,9,,29,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,15,15,,0,,old data sets,international
NL,51,1975,9,,29,,"demonstration, protest march",demonstrative,Countermobilization NSM,cultural liberalism,,.05,.050000001,,0,,old data sets,international
NL,52,1975,10,,6,,"demonstration, protest march",demonstrative,Environment,environment,,.2,.2,,1,,old data sets,local
NL,53,1975,10,,6,,hunger strike,confrontational,Foreigners internal,immigration,,.1,.1,,1,,old data sets,international
NL,54,1975,10,,20,,squatting,confrontational,Education,cultural (others),,.3,.30000001,,0,,old data sets,local
NL,55,1975,10,,27,,squatting,confrontational,Others,others,,.25,.25,,0,,old data sets,local
NL,56,1975,11,,3,,squatting,confrontational,Foreigners internal,immigration,,.1,.1,,1,,old data sets,local
NL,57,1975,11,,3,,hunger strike,confrontational,Foreigners internal,immigration,,.004,.0040000002,,0,,old data sets,national
NL,58,1975,11,,3,,other symbolic/ludic non-confrontational forms,demonstrative,Others,others,,1,1,,1,,old data sets,international
NL,59,1975,11,,10,,hunger strike,confrontational,Foreigners internal,immigration,,.1,.1,,0,,old data sets,national
NL,60,1975,11,,17,,hunger strike,confrontational,Foreigners internal,immigration,,.02,.02,,0,,old data sets,national
NL,61,1975,11,,17,,"demonstration, protest march",demonstrative,Labor,economic (others),,.5,.5,,0,,old data sets,regional
NL,62,1975,11,,24,,protest meeting,demonstrative,Other left,economic (others),,.25,.25,,0,,old data sets,local
NL,63,1975,11,,24,,protest meeting,demonstrative,Others,others,,2,2,,1,,old data sets,international
NL,64,1975,12,,1,,"demonstration, protest march",demonstrative,Foreigners internal,immigration,,5,5,,0,,old data sets,national
NL,65,1975,12,,8,,violence against persons,heavy violence,Foreigners external,others,,.007,.0070000002,,0,,old data sets,international
NL,66,1975,12,,8,,violence against persons,heavy violence,Foreigners external,others,,.007,.0070000002,,0,,old data sets,international
NL,67,1975,12,,8,,"collection of signatures campaign, petition",petitions,Other right,cultural (others),,.1,.1,,1,,old data sets,national
NL,68,1975,12,,15,,hunger strike,confrontational,Foreigners internal,immigration,,.25,.25,,0,,old data sets,national
NL,69,1975,12,,15,,protest meeting,demonstrative,Solidarity internal (incl. anti-racism),immigration,,.5,.5,,0,,old data sets,national
NL,70,1975,12,,22,,squatting,confrontational,Labor,economic (others),,,.050000001,,0,,old data sets,local
NL,71,1975,12,,29,,protest meeting,demonstrative,Foreigners external,others,,.4,.40000001,,1,,old data sets,international
NL,72,1976,2,,2,,symbolic/ludic confrontational actions,confrontational,Other left,economic (others),,.012,.012,,0,,old data sets,local
NL,73,1976,2,,2,,squatting,confrontational,Education,cultural (others),,.25,.25,,0,,old data sets,local
NL,74,1976,2,,2,,party with political meaning,festivals,Others,others,,5,5,,0,,old data sets,national
NL,75,1976,2,,2,,squatting,confrontational,Other left,economic (others),,.02,.02,,0,,old data sets,local
NL,76,1976,2,,2,,protest meeting,demonstrative,Anti-Nuclear Energy,environment,,.3,.30000001,,0,,old data sets,national
NL,77,1976,2,,2,,boycott,confrontational,Education,cultural (others),,.1,.1,,0,,old data sets,local
NL,78,1976,2,,9,,"demonstration, protest march",demonstrative,Labor,economic (others),,.5,.5,,0,,old data sets,national
NL,79,1976,2,,16,,hunger strike,confrontational,Others,others,,.006,.0060000001,,0,,old data sets,local
NL,80,1976,2,,16,,"demonstration, protest march",demonstrative,Others,others,,.5,.5,,0,,old data sets,local
NL,81,1976,2,,23,,other legal confrontational forms,confrontational,Foreigners internal,immigration,,.5,.5,,0,,old data sets,national
NL,82,1976,2,,23,,perturbation of demonstrations,confrontational,Foreigners external,others,,.5,.5,,1,,old data sets,national
NL,83,1976,2,,23,,"demonstration, protest march",demonstrative,Others,others,,.1,.1,,0,,old data sets,national
NL,84,1976,3,,8,,blockade or other forms of blocking,confrontational,Others,others,,.5,.5,,0,,old data sets,national
NL,85,1976,3,,8,,blockade or other forms of blocking,confrontational,Others,others,,.5,.5,,0,,old data sets,national
NL,86,1976,3,,8,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.05,.050000001,,0,,old data sets,national
NL,87,1976,3,,15,,blockade or other forms of blocking,confrontational,Others,others,,.1,.1,,0,,old data sets,local
NL,88,1976,3,,22,,"demonstration, protest march",demonstrative,Education,cultural (others),,1,1,,0,,old data sets,national
NL,89,1976,3,,29,,"demonstration, protest march",demonstrative,Others,others,,.1,.1,,0,,old data sets,local
NL,90,1976,5,,3,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.04,.039999999,,1,,old data sets,local
NL,91,1976,5,,10,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.1,.1,,1,,old data sets,national
NL,92,1976,5,,10,,"demonstration, protest march",demonstrative,Farmers,economic (others),,.5,.5,,0,,old data sets,national
NL,93,1976,5,,10,,"demonstration, protest march",demonstrative,Foreigners internal,immigration,,10,10,,0,,old data sets,national
NL,94,1976,5,,10,,perturbation of demonstrations,confrontational,Others,others,,.1,.1,,1,,old data sets,national
NL,95,1976,5,,10,,squatting,confrontational,Education,cultural (others),,.05,.050000001,,0,,old data sets,local
NL,96,1976,5,,17,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.1,.1,,0,,old data sets,national
NL,97,1976,5,,17,,blockade or other forms of blocking,confrontational,Environment,environment,,.25,.25,,0,,old data sets,regional
NL,98,1976,5,,17,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.1,.1,,0,,old data sets,national
NL,99,1976,5,,17,,violence against persons,heavy violence,Countermobilization NSM,cultural liberalism,,,.015,,0,,old data sets,national
NL,100,1976,5,,24,,"demonstration, protest march",demonstrative,Other left,economic (others),,,.5,,0,,old data sets,local
NL,101,1976,5,,24,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.05,.050000001,,1,,old data sets,national
NL,102,1976,5,,24,,"demonstration, protest march",demonstrative,Others,others,,.5,.5,,0,,old data sets,international
NL,103,1976,5,,31,,"demonstration, protest march",demonstrative,Foreigners external,others,,.05,.050000001,,0,,old data sets,international
NL,104,1976,5,,31,,"demonstration, protest march",demonstrative,Foreigners internal,immigration,,.5,.5,,1,,old data sets,national
NL,105,1976,6,,8,,"demonstration, protest march",demonstrative,Others,others,,.5,.5,,0,,old data sets,international
NL,106,1976,6,,14,,squatting,confrontational,Women,cultural liberalism,,.5,.5,,0,,old data sets,national
NL,107,1976,6,,14,,"demonstration, protest march",demonstrative,Environment,environment,,5,5,,0,,old data sets,local
NL,108,1976,8,,23,,hunger strike,confrontational,Solidarity external,cultural liberalism,,.05,.050000001,,0,,old data sets,international
NL,109,1976,8,,23,,hunger strike,confrontational,Solidarity external,cultural liberalism,,.05,.050000001,,0,,old data sets,international
NL,110,1976,8,,23,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.25,.25,,1,,old data sets,international
NL,111,1976,9,,13,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,6,6,,1,,old data sets,international
NL,112,1976,9,,13,,"demonstration, protest march",demonstrative,Countermobilization NSM,cultural liberalism,,7,7,,0,,old data sets,national
NL,113,1976,9,,13,,squatting,confrontational,Labor,economic (others),,.05,.050000001,,0,,old data sets,regional
NL,114,1976,9,,20,,"demonstration, protest march",demonstrative,Education,cultural (others),,5,5,,0,,old data sets,national
NL,115,1976,10,,4,,other legal confrontational forms,confrontational,Farmers,economic (others),,.1,.1,,0,,old data sets,national
NL,116,1976,10,,4,,other legal confrontational forms,confrontational,Farmers,economic (others),,.1,.1,,0,,old data sets,national
NL,117,1976,10,,4,,protest meeting,demonstrative,Farmers,economic (others),,.1,.1,,0,,old data sets,national
NL,118,1976,10,,11,,protest meeting,demonstrative,Labor,economic (others),,2.2,2.2,,1,,old data sets,national
NL,119,1976,10,,25,,protest meeting,demonstrative,Education,cultural (others),,.5,.5,,1,,old data sets,national
NL,120,1976,11,,1,,protest meeting,demonstrative,Education,cultural (others),,.1,.1,,0,,old data sets,national
NL,121,1976,11,,8,,"demonstration, protest march",demonstrative,Labor,economic (others),,1.5,1.5,,1,,old data sets,national
NL,122,1976,11,,22,,"demonstration, protest march",demonstrative,Anti-Nuclear Energy,environment,,.5,.5,,0,,old data sets,national
NL,123,1976,11,,22,,"demonstration, protest march",demonstrative,Education,cultural (others),,1,1,,0,,old data sets,national
NL,124,1976,12,,6,,protest meeting,demonstrative,Environment,environment,,.3,.30000001,,0,,old data sets,regional
NL,125,1976,12,,6,,squatting,confrontational,Women,cultural liberalism,,.1,.1,,0,,old data sets,national
NL,126,1976,12,,6,,"demonstration, protest march",demonstrative,Anti-Nuclear Energy,environment,,.1,.1,,0,,old data sets,national
NL,127,1976,12,,13,,squatting,confrontational,Labor,economic (others),,.2,.2,,1,,old data sets,regional
NL,128,1976,12,,20,,"demonstration, protest march",demonstrative,Women,cultural liberalism,,5,5,,1,,old data sets,national
NL,129,1976,12,,27,,"collection of signatures campaign, petition",petitions,Others,others,,,.5,,0,,old data sets,national
NL,130,1976,12,,27,,"demonstration, protest march",demonstrative,Others,others,,.5,.5,,0,,old data sets,national
NL,131,1977,1,,10,,squatting,confrontational,Labor,economic (others),,.3,.30000001,,0,,old data sets,national
NL,132,1977,1,,10,,"demonstration, protest march",demonstrative,Labor,economic (others),,.4,.40000001,,0,,old data sets,national
NL,133,1977,1,,17,,"demonstration, protest march",demonstrative,Labor,economic (others),,2,2,,0,,old data sets,national
NL,134,1977,1,,24,,squatting,confrontational,Education,cultural (others),,.05,.050000001,,0,,old data sets,local
NL,135,1977,1,,24,,"demonstration, protest march",demonstrative,Labor,welfare,,1,1,,0,,old data sets,national
NL,136,1977,1,,31,,blockade or other forms of blocking,confrontational,Others,others,,.1,.1,,0,,old data sets,regional
NL,137,1977,2,,7,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.1,.1,,1,,old data sets,international
NL,138,1977,2,,7,,"demonstration, protest march",demonstrative,Anti-Nuclear Energy,environment,,3,3,,0,,old data sets,national
NL,139,1977,2,,7,,squatting,confrontational,Labor,economic (others),,.015,.015,,0,,old data sets,national
NL,140,1977,2,,7,,protest meeting,demonstrative,Women,cultural liberalism,,1.3,1.3,,1,,old data sets,international
NL,141,1977,2,,7,,"demonstration, protest march",demonstrative,Labor,economic (others),,.1,.1,,1,,old data sets,national
NL,142,1977,2,,17,,"demonstration, protest march",demonstrative,Labor,economic (others),,30,30,,1,,old data sets,national
NL,143,1977,2,,21,,protest meeting,demonstrative,Other left,economic (others),,1,1,,0,,old data sets,international
NL,144,1977,2,,21,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.1,.1,,0,,old data sets,international
NL,145,1977,3,,21,,"demonstration, protest march",demonstrative,Others,others,,2,2,,0,,old data sets,national
NL,146,1977,3,,28,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.04,.039999999,,0,,old data sets,local
NL,147,1977,4,,4,,"demonstration, protest march",demonstrative,Anti-Nuclear Energy,environment,,10,10,,0,,old data sets,national
NL,148,1977,4,,12,,squatting,confrontational,Farmers,economic (others),,.1,.1,,0,,old data sets,national
NL,149,1977,4,,18,,squatting,confrontational,Labor,welfare,,.1,.1,,0,,old data sets,national
NL,150,1977,4,,25,,protest meeting,demonstrative,Anti-Nuclear Energy,environment,,1,1,,0,,old data sets,national
NL,151,1977,5,,2,,"demonstration, protest march",demonstrative,Women,cultural liberalism,,.05,.050000001,,0,,old data sets,national
NL,152,1977,5,,9,,protest meeting,demonstrative,Labor,economic (others),,1.8,1.8,,0,,old data sets,national
NL,153,1977,5,,16,,protest meeting,demonstrative,Labor,welfare,,2,2,,0,,old data sets,national
NL,154,1977,5,,23,,violence against persons,heavy violence,Foreigners external,others,,.004,.0040000002,,0,,old data sets,international
NL,155,1977,5,,23,,"demonstration, protest march",demonstrative,Foreigners internal,immigration,,.5,.5,,1,,old data sets,national
NL,156,1977,5,,23,,violence against persons,heavy violence,Foreigners external,others,,.007,.0070000002,,0,,old data sets,international
NL,157,1977,6,,6,,"demonstration, protest march",demonstrative,Environment,environment,,5,5,,0,,old data sets,national
NL,158,1977,6,,6,,blockade or other forms of blocking,confrontational,Foreigners internal,immigration,,.05,.050000001,,0,,old data sets,national
NL,159,1977,6,,6,,"demonstration, protest march",demonstrative,Foreigners internal,immigration,,.3,.30000001,,0,,old data sets,national
NL,160,1977,6,,20,,limited destruction of objects,light violence,Foreigners internal,immigration,,.03,.029999999,,0,,old data sets,national
NL,161,1977,6,,20,,"demonstration, protest march",demonstrative,Homosexuals,cultural liberalism,,2,2,,0,,old data sets,national
NL,162,1977,6,,27,,blockade or other forms of blocking,confrontational,Solidarity external,cultural liberalism,,.1,.1,,1,,old data sets,national
NL,163,1977,7,,11,,"demonstration, protest march",demonstrative,Foreigners external,others,,.5,.5,,0,,old data sets,local
NL,164,1977,8,,8,,"demonstration, protest march",demonstrative,Environment,environment,,1,1,,0,,old data sets,international
NL,165,1977,8,,15,,"demonstration, protest march",demonstrative,Foreigners external,others,,.2,.2,,0,,old data sets,regional
NL,166,1977,8,,22,,"demonstration, protest march",demonstrative,Foreigners external,others,,.2,.2,,0,,old data sets,international
NL,167,1977,9,,5,,"demonstration, protest march",demonstrative,Women,cultural liberalism,,5,5,,1,,old data sets,national
NL,168,1977,9,,5,,party with political meaning,festivals,Women,cultural liberalism,,10,10,,0,,old data sets,national
NL,169,1977,9,,5,,"demonstration, protest march",demonstrative,Foreigners external,others,,.3,.30000001,,0,,old data sets,international
NL,170,1977,9,,5,,"demonstration, protest march",demonstrative,Women,cultural liberalism,,1,1,,0,,old data sets,national
NL,171,1977,9,,12,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,5,5,,0,,old data sets,international
NL,172,1977,9,,12,,violence against persons,heavy violence,Foreigners external,others,,.1,.1,,0,,old data sets,national
NL,173,1977,9,,26,,"demonstration, protest march",demonstrative,Labor,economic (others),,4,4,,0,,old data sets,national
NL,174,1977,9,,26,,"demonstration, protest march",demonstrative,Labor,economic (others),,8.5,8.5,,0,,old data sets,national
NL,175,1977,10,,10,,party with political meaning,festivals,Homosexuals,cultural liberalism,,1,,,1,,old data sets,international
NL,176,1977,10,,10,,"demonstration, protest march",demonstrative,Homosexuals,cultural liberalism,,.1,.1,,1,,old data sets,international
NL,177,1977,10,,10,,"demonstration, protest march",demonstrative,Labor,economic (others),,.1,.1,,0,,old data sets,local
NL,178,1977,10,,10,,blockade or other forms of blocking,confrontational,Environment,environment,,.5,.5,,0,,old data sets,regional
NL,179,1977,10,,17,,other demonstrative forms,demonstrative,Other left,economic (others),,.5,.5,,0,,old data sets,national
NL,180,1977,10,,24,,"demonstration, protest march",demonstrative,Others,others,,5,5,,0,,old data sets,national
NL,181,1977,10,,24,,"demonstration, protest march",demonstrative,Foreigners external,others,,.5,.5,,0,,old data sets,international
NL,182,1977,10,,24,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,1,1,,0,,old data sets,international
NL,183,1977,10,,24,,protest meeting,demonstrative,"Squatters, autonomous youth",cultural liberalism,,.7,.69999999,,0,,old data sets,international
NL,184,1977,10,,31,,"demonstration, protest march",demonstrative,Other left,economic (others),,.1,.1,,0,,old data sets,national
NL,185,1977,10,,31,,"demonstration, protest march",demonstrative,Other left,economic (others),,.5,.5,,0,,old data sets,local
NL,186,1977,11,,7,,"demonstration, protest march",demonstrative,Peace,cultural liberalism,,3,3,,1,,old data sets,national
NL,187,1977,11,,14,,"demonstration, protest march",demonstrative,Countermobilization NSM,cultural liberalism,,.2,.2,,0,,old data sets,national
NL,188,1977,11,,14,,"demonstration, protest march",demonstrative,Other left,economic (others),,.5,.5,,0,,old data sets,local
NL,189,1977,11,,14,,"demonstration, protest march",demonstrative,Civil rights,cultural (others),,.5,.5,,1,,old data sets,national
NL,190,1977,11,,14,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.5,.5,,1,,old data sets,national
NL,191,1977,11,,21,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.1,.1,,1,,old data sets,national
NL,192,1977,12,,12,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.1,.1,,1,,old data sets,national
NL,193,1977,12,,12,,"demonstration, protest march",demonstrative,Countermobilization NSM,cultural liberalism,,.02,.02,,0,,old data sets,national
NL,194,1977,12,,19,,"demonstration, protest march",demonstrative,Civil rights,cultural (others),,2,2,,1,,old data sets,national
NL,195,1977,12,,19,,"demonstration, protest march",demonstrative,Civil rights,cultural (others),,1,1,,1,,old data sets,national
NL,196,1978,1,,9,,symbolic violence against objects,confrontational,Countermobilization NSM,cultural liberalism,,.01,.0099999998,,0,,old data sets,national
NL,197,1978,1,,16,,protest meeting,demonstrative,Peace,cultural liberalism,,.05,.050000001,,1,,old data sets,national
NL,198,1978,1,,16,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.05,.050000001,,0,,old data sets,national
NL,199,1978,1,,16,,"demonstration, protest march",demonstrative,"Squatters, autonomous youth",cultural liberalism,,.8,.80000001,,0,,old data sets,national
NL,200,1978,1,,23,,"demonstration, protest march",demonstrative,Others,others,,.1,.1,,0,,old data sets,local
NL,201,1978,1,,23,,"demonstration, protest march",demonstrative,Civil rights,cultural (others),,1,1,,0,,old data sets,national
NL,202,1978,1,,23,,blockade or other forms of blocking,confrontational,Others,others,,.2,.2,,0,,old data sets,local
NL,203,1978,1,,30,,hunger strike,confrontational,Anti-Nuclear Energy,environment,,.006,.0060000001,,0,,old data sets,national
NL,204,1978,2,,6,,"demonstration, protest march",demonstrative,Women,cultural liberalism,,.5,.5,,0,,old data sets,national
NL,205,1978,2,,6,,squatting,confrontational,Education,cultural (others),,,.050000001,,0,,old data sets,local
NL,206,1978,2,,16,,symbolic violence against objects,confrontational,Countermobilization NSM,cultural liberalism,,.009,.0089999996,,0,,old data sets,national
NL,207,1978,2,,16,,symbolic violence against objects,confrontational,Countermobilization NSM,cultural liberalism,,,.0099999998,,0,,old data sets,national
NL,208,1978,2,,27,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.02,.02,,1,,old data sets,national
NL,209,1978,2,,27,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.01,.0099999998,,1,,old data sets,national
NL,210,1978,2,,27,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.03,.029999999,,0,,old data sets,international
NL,211,1978,2,,27,,symbolic violence against persons,confrontational,Countermobilization NSM,cultural liberalism,,,.029999999,,0,,old data sets,national
NL,212,1978,2,,27,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.03,.029999999,,1,,old data sets,national
NL,213,1978,2,,27,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.03,.029999999,,1,,old data sets,national
NL,214,1978,2,,27,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.14,.14,,1,,old data sets,national
NL,215,1978,3,,6,,"demonstration, protest march",demonstrative,Anti-Nuclear Energy,environment,,30,30,,1,,old data sets,national
NL,216,1978,3,,13,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,,.5,,0,,old data sets,national
NL,217,1978,3,,13,,violence against persons,heavy violence,Foreigners external,others,,.003,.003,,0,,old data sets,international
NL,218,1978,3,,13,,"demonstration, protest march",demonstrative,Labor,economic (others),,.5,.5,,0,,old data sets,regional
NL,219,1978,3,,13,,squatting,confrontational,Labor,economic (others),,.16,.16,,0,,old data sets,regional
NL,220,1978,3,,20,,"demonstration, protest march",demonstrative,Peace,cultural liberalism,,45,45,,1,,old data sets,national
NL,221,1978,3,,20,,"demonstration, protest march",demonstrative,Solidarity external,cultural liberalism,,.5,.5,,1,,old data sets,international
NL,222,1978,4,,17,,"demonstration, protest march",demonstrative,Foreigners external,others,,.5,.5,,0,,old data sets,international
NL,223,1978,4,,17,,squatting,confrontational,Foreigners internal,immigration,,.2,.2,,1,,old data sets,national
NL,224,1978,4,,24,,"demonstration, protest march",demonstrative,Labor,economic (others),,5,5,,1,,old data sets,national
NL,225,1978,4,,24,,hunger strike,confrontational,Solidarity internal (incl. anti-racism),immigration,,.025,.025,,1,,old data sets,national
NL,226,1978,4,,24,,protest meeting,demonstrative,Labor,economic (others),,5,5,,1,,old data sets,national
NL,227,1978,5,,1,,other symbolic/ludic non-confrontational forms,demonstrative,Anti-Nuclear Energy,environment,,.5,.5,,1,,old data sets,national
NL,228,1978,5,,1,,other symbolic/ludic non-confrontational forms,demonstrative,Solidarity external,cultural liberalism,,.5,.5,,0,,old data sets,national
NL,229,1978,5,,1,,other symbolic/ludic non-confrontational forms,demonstrative,Anti-Nuclear Energy,environment,,.008,.0080000004,,1,,old data sets,national
NL,230,1978,5,,8,,squatting,confrontational,"Squatters, autonomous youth",cultural liberalism,,.1,.1,,1,,old data sets,local
NL,231,1978,5,,16,,squatting,confrontational,Solidarity internal (incl. anti-racism),immigration,,.03,.029999999,,1,,old data sets,national
NL,232,1978,5,,26,,"demonstration, protest march",demonstrative,Labor,economic (others),,30,30,,0,,old data sets,national
NL,233,1978,6,,5,,"demonstration, protest march",demonstrative,Anti-Nuclear Energy,environment,,1,1,,1,,old data sets,national
NL,234,1978,6,,5,,hunger strike,confrontational,Foreigners external,others,,.2,.2,,0,,old data sets,international
NL,235,1978,6,,5,,hunger strike,confrontational,Solidarity external,cultural liberalism,,.07,.07,,0,,old data sets,international
NL,236,1978,6,,19,,squatting,confrontational,Education,cultural (others),,.1,.1,,0,,old data sets,national
NL,237,1978,6,,19,,"collection of signatures campaign, petition",petitions,Environment,environment,,7,7,,0,,old data sets,regional
