country,year,source_string,articleid,title,date,page,rubric,description,event_day,place_new,trans_place,duration,form,part_high,part_low,part_number2,transpart,campaign,issue_new1,issue_new2,issue_new3,frame1_1,frame1_2,frame1_3,frame2_1,frame2_2,frame2_3,frame3_1,frame3_2,frame3_3,european_frame1,european_frame2,european_frame3,ad1_level,ad1_type,ad2_level,ad2_type,police,arrests,wounded,noorgs,org1_name,org1_type,org2_name,org2_type,org3_name,org3_type,org4_name,org4_type,org5_name,org5_type,org6_name,org6_type,org7_name,org7_type,comment,place_num,place_string,european_issue,european_frame,european_ad,european_theme,european_actor
A,2010,Die Presse,Rauchverbot: Revolte der Cafe-Besitzer_27.01.2010_10,Rauchverbot: Revolte der Cafe-Besitzer,27 Jan 10,10,CHR Chronik,Wiener Kaffeehausbesitzer sammeln Unterschriften organisiert von ÖVP-Wirtschaftsbund für eine Verlängerung von Ausnahmeregelungen bei Nichtrauchermaßnahmen und fordern dabei Eintreten des Gesundheitsministers für ihr Anliegen bei EU.,Still ongoing,A: Wien,0,,"collection of signatures, petition ",,,2300,0,no campaign,Social/labor,,,e2 economic prosperity/liberalism,,,,,,,,,0,,,national,National state actor,European,EU in general,0,0,0,1,ÖVP,national party ,,,,,,,,,,,,,,,,0,0,1,0,0
A,1996,Die Presse,Protest gegen Gen-Technik_18.01.1996_missing,Protest gegen Gen-Technik,18 Jan 96,,,"Bundesweite Unterschriftenaktion der Evangelischen Kirche, parallel zu anderen EU-Staaten,  mit (Zwischenstand) 1000 Unterschriften gegen die Patentrichtlinie der EU-Kommission. Unterschriften aus A und anderen EU-Staaten sollen zuletzt gemeins",Still ongoing,A: Österreich,0,,"collection of signatures, petition ",1000,,1000,1,European campaign,Agriculture,,,c3 multiculturalist-universalist,ou3 environment/sustainability,e1 labour & social security,,,,,,,0,,,European,European Commission,,,0,0,0,1,Evangelische Kirche Österreich,national religious organisation,,,,,,,,,,,,,,,,1,0,1,1,1
A,2007,Die Presse,inkürze_06.02.2007_4,inkürze,06 Feb 07,4,APO Europa,"Eine Million Menschen aus 21 EU Staaten haben eine Petition für mehr und klarere Kennzeichnung von Gen-Lebensmittel unterzeichnet. Konkret geht es um die Kennzeichnung von Fleisch von Tieren, welche genmanipuliertes Futter erhalten haben.  Dies",Monday,BE: Brüssel,1,,"collection of signatures, petition ",1000000,,1000000,1,no campaign,Environment/animal,,,,,,,,,,,,,,,European,European Commission,,,0,0,0,1,Greenpeace,"transnational social movement organisation, initiative, network",,,,,,,,,,,,,"Österreichbezug implizit über ""21 EU-Staaten""",,,1,,1,1,1
A,2007,Die Presse,Kaffee: Selten is drin_17.01.2007_13,Kaffee: Selten is drin,17 Jan 07,13,CHR Chronik,"Leopold Edelbauer startet gemeinsam mit der AK, der Berufsgruppe der Kaffeehäuser und dem Ernährungswissenschaftler Ibrahim Elmadfa eine Unterschriftenaktion mit dem Ziel die EU zu einer Regelung der Aufklärung über die Kaffee Inhaltsstoffe auf",Still ongoing,A: Wien,0,,"collection of signatures, petition ",,,2300,1,European campaign,Market/liberalization,,,ou5 other utilitarian,,,,,,,,,0,,,European,European Commission,,,0,0,0,3,Institut zur Ausbildung von Kaffee-Sommeliers (Leopold Edelbauer),"subnational social movement organisation, initiative, network",Arbeiterkammer,national interest association,Berufsgruppe der Kaffeehäuser,national interest association,,,,,,,,,,,,1,0,1,1,1
A,2001,Die Presse,"Schärfere Kontrollen gegen ""scharze_22.02.2001_missing","Schärfere Kontrollen gegen ""scharze",22 Feb 01,,,"Unterschriftenaktion der FPÖ-Niederösterreich gegen industrialisierte Landwirtschaft der EU; 10.000 Unterschriften geplant, die Landeshauptmann Erwin Pröll übergeben werden sollen",Unknown,A: BL Niederösterreich,0,,"collection of signatures, petition ",,,2300,0,no campaign,Agriculture,,,e2 economic prosperity/liberalism,,,,,,,,,0,,,subnational,National state actor,,,0,0,0,1,FPÖ-Niederösterreich,subnational party  ,,,,,,,,,,,,,PE 11 und 12 sehr ähnlich - identisch?,,,1,0,0,1,0
A,2000,Die Presse,Prag bremst den Dialog_13.01.2000_missing,Prag bremst den Dialog,13 Jan 00,,,Sudetendeutsche Landsmannschaft startet Unterschriftenaktion um einer Petition an die Bundesregierung Nachdruck zu verleihen. Sie fordern ein Veto gegen den EU-Beitritt Tschechiens und Sloweniens bis die Benesh-Dekrete/ Avnoj Bestimmungen für u,Still ongoing,A: Österreich,0,,"collection of signatures, petition ",,,2300,0,no campaign,EU integration (general),EU integration (general),EU integration (general),ou4 procedural/strategic,,,ou4 procedural/strategic,,,,,,0,0,,national,National state actor,,,0,0,0,1,Sudetendeutsche Landsmannschaft,"national social movement organisation, initiative, network",,,,,,,,,,,,,"domestic Issue ""Patriotism"" ist natürlich weit weg von Benesh/Avnoj",,,1,0,0,1,0
A,2001,Die Presse,Wiener Neustadt kämpft geschlossen_11.02.2002_18,Wiener Neustadt kämpft geschlossen,11 Feb 02,18,NO,Gemeinderat von Wr. Neustadt übergab 2001 4000 Protestunterschriften für den Bau einer Umfahrungsstraße an Landeshauptmann Pröll und begründet dies mit der Belastung durch die Osterweiterung.,Unknown,A: Wien,0,1,"collection of signatures, petition ",4000,,4000,0,no campaign,Transport,,,ou5 other utilitarian,,,,,,,,,1,,,subnational,National state actor,,,0,0,0,1,Wiener Neustadt,subnational party  ,,,,,,,,,,,,,,,,0,1,0,1,0
A,2004,Die Presse,Blockade soll Donaubrücke verhindern_22.03.2004_8,Blockade soll Donaubrücke verhindern,22 Mar 04,8,CHR Chronik,Regionale Bürgerinitiativen sammeln Unterschriften gegen eine geplante Donaubrücke bei Traismauer. Durch die EU-Osterweiterung wird eine LKW-Lawine befürchtet.,Unknown,A: Traismauer,0,,"collection of signatures, petition ",2300,,2300,0,national campaign,Transport,,,ou3 environment/sustainability,,,,,,,,,1,,,national,National state actor,,,0,0,0,1,"Verein ""Lena"", Zusammenschluss regionaler Bürgerinitiativen","subnational social movement organisation, initiative, network",,,,,,,,,,,,,,,,0,1,0,1,0
A,2007,Die Presse,Matte Mobilisierung gegen den _05.12.2007_5,Matte Mobilisierung gegen den,05 Dec 07,5,APO Europa,EU Parlamentarier HP Martin sammelt Unterschriften für ein Referendum über den EU-Reformvertrag. Die Aktion ist Teil einer europäischen Kampagne gemeinsam mit dem Abgeordneten Jens-Peter Bonde (DK) mit dem Ziel 1.Mio Unterschriften EU weit zu s,Still ongoing,A: Österreich,0,,"collection of signatures, petition ",20000,,20000,1,European campaign,EU integration (general),,,,,,,,,,,,,,,national,National state actor,European,EU in general,0,0,0,2,HP Martin EU Partei,national party ,Jens-Peter Bonde (DK),national party ,,,,,,,,,,,Hat zum Zeitpunkt des Erscheinen des Artikels schon 20.000 Unterschriften gesammelt - max. Zahl fehlt jedoch. Zusatzartikel: 06.03.2008,,,1,,1,1,1
A,2002,Die Presse,Nachhutgefecht um Gott_22.11.2003_6,Nachhutgefecht um Gott,22 Nov 03,6,APO Europa,Eine Petition aus dem Jahr 2002 mit bereits 500.000 Unterschriften (140.000 aus Österreich) fordert christliche Werte in der EU-Verfassung zu verankern.,Still ongoing,Europa,1,,"collection of signatures, petition ",500000,,500000,1,no campaign,Immigration,,,c1 nationalistic-ethnic,,,,,,,,,1,,,European,EU in general,,,0,0,0,0,missing,,,,,,,,,,,,,,"Christdemokraten unterstützen die Petition, eigentlicher Organisator unbekannt; Frame: ""einigendes Band des christlichen Erbes"" soll bei der Wiedervereinigung Europas eine Rolle spielen",,,1,1,1,1,1
A,1999,Die Presse,Über betriebliche Frauenförderung wird_16.01.1999_missing,Über betriebliche Frauenförderung wird,16 Jan 99,,,"Initiative ""Frau in der Wirtschaft"" übergibt der EU-Kommission eine Petition gegen die Diskriminierung von Unternehmerinnen beim Zugang zu EU-Bildungsmaßnahmen",Friday,Don't know,0,1,"collection of signatures, petition ",,,2300,0,no campaign,Social/labor,,,,,,,,,,,,,,,European,European Commission,,,0,0,0,1,"WKO ""Frau in der Wirtschaft""",national interest association,,,,,,,,,,,,,,,,1,,1,1,0
A,1999,Die Presse,"""Deklaration zur Werbefreiheit"" - Dachverband_06.08.1999_missing","""Deklaration zur Werbefreiheit"" - Dachverband",06 Aug 99,,,"Austrian Chapter der International Advertising Association versendet 16.000 Stück der ""Deklaration zur Werbefreiheit"" an Wirtschaftsunternehmen und hofft auf möglichst viele Unterschriften. Man erhofft sich Schützenhilfe von der Bundesregierung",Unknown,A: Österreich,0,,"collection of signatures, petition ",,,2300,0,no campaign,Market/liberalization,,,e2 economic prosperity/liberalism,e1 labour & social security,,,,,,,,0,,,national,National state actor,European,European Commission,0,0,0,1,Austrian-Chapter der International Advertising Association,"national social movement organisation, initiative, network",,,,,,,,,,,,,,,,1,0,1,1,0
A,1999,Die Presse,FPÖ startet schon ihren_11.03.1999_missing,FPÖ startet schon ihren,11 Mar 99,,,"Österreichweite Unterschriftenaktion der FPÖ zur Abberufung der EU-Kommission, wo ""immer noch Betrüger am Werk"" seien, durch das Europaparlament.",Still ongoing,A: Österreich,0,,"collection of signatures, petition ",,,2300,0,no campaign,EU integration (general),,,ou2 security,,,,,,,,,1,,,European,European Parliament,,,0,0,0,1,FPÖ,national party ,,,,,,,,,,,,,,,,1,1,1,1,0
A,2004,Die Presse,Initiative gegen Auswüchse_08.01.2004_4,Initiative gegen Auswüchse,08 Jan 04,4,IPO Inland,"""Aktion Leben"" sammelt Unterschriften für Klonverbot, gegen die Zulassung genetischer Frühdiagnostik an künstlichen Embryonen und Stammzellenforschung",Still ongoing,A: Österreich,0,,"collection of signatures, petition ",,,2300,0,no campaign,Environment/animal,,,ou4 procedural/strategic,ou4 procedural/strategic,,,,,,,,1,,,European,EU in general,national,National state actor,0,0,0,1,Aktion Leben,"national social movement organisation, initiative, network",,,,,,,,,,,,,"ad Frame: ""als Anlass ... die biomedizinische Debatte in der EU sowie die Novellierung des österreichischen Fortpflanzungsgesetzes""",,,0,1,1,1,0
A,2007,Die Presse,Donaubrücke: Krems stoppt Vorarbeiten_10.01.2007_23,Donaubrücke: Krems stoppt Vorarbeiten,10 Jan 07,23,CHR Chronik,"Aktivisten von Global 2000 rücken am Montag auf der Baustelle der Autobahnbrücke bei Traismauer an: Die Arbeiten hätten vor abgeschlossenem Genehmigungsverfahren nicht beginnen dürfen, denn das Projekt liegt in einem von EU-Richtlinien geschütz",Monday,A: Traismauer,0,1,protest meeting,,,500,0,no campaign,Transport,,,ou3 environment/sustainability,,,,,,,,,1,,,,Unclear,,,0,0,0,1,Global 2000,"national social movement organisation, initiative, network",,,,,,,,,,,,,,,,0,1,0,1,0
A,2009,Die Presse,Bauern fordern Barroso-Gespräch_22.09.2009_16,Bauern fordern Barroso-Gespräch,22 Sep 09,16,WIR Economist,"In mehreren Ländern Europas (darunter FR, DE, CH) protestieren am Wochenende erneut verärgerte Milchbauern gegen die sinkenden Milchpreise und die EU Agrarpolitik. Auch in Kärnten wurde demonstriert.",Weekend,A: BL Kärnten,0,,protest meeting,,,500,0,European campaign,Agriculture,Agriculture,Agriculture,e1 labour & social security,,,e1 labour & social security,,,,,,0,0,,national,National state actor,European,EU in general,0,0,0,1,IG Milch,national interest association,,,,,,,,,,,,,,,,1,0,1,1,1
A,2009,Die Presse,Milch: EU beugt sich_20.10.2009_3,Milch: EU beugt sich,20 Oct 09,3,APO Europa,Das European Milk Board (EMB; in Österreich vertreten durch die IG Milch) organisierte am Montag Proteste vor dem Luxemburger Ratsgebäude die das Treffen der EU-Landwirtschaftsminister begleiteten. Die Forderungen sind ein besserer europäischer,Unknown,LU: Luxemburg,1,,protest meeting,,,500,1,European campaign,Agriculture,Agriculture,Agriculture,e1 labour & social security,,,e1 labour & social security,,,e1 labour & social security,,,1,1,1,European,Council of Ministers,,,0,0,0,1,European Milk Board (EMB),transnational interest association,,,,,,,,,,,,,"Österreichische Beteiligung nicht explizit, nur über die Mitgliedschaft der österreichischen IG Milch bei der EMB. Protestform nicht ganz klar aber eher Protestversammlung (da vor dem Ratsgebäude in Luxemburg)",,,1,1,1,1,1
A,1997,Die Presse,Streit um Gen-Patentierung_23.10.1997_missing,Streit um Gen-Patentierung,23 Oct 97,,,"Global2000 und Greenpeace fordern in einer Kundgebung dem Wunsch der 1,2 Mio. Unterzeichnern des Gentechnik-Volksbegehrens folge zu leisten und Gen-Patente zu verbieten. Diese Postion soll vom Nationalrat beschlossen und vom Wirtschaftsminister",Wednesday,A: Wien,0,1,protest meeting,,,500,0,national campaign,Agriculture,,,c3 multiculturalist-universalist,,,,,,,,,0,,,national,National state actor,,,0,0,0,2,Global 2000,"national social movement organisation, initiative, network",Greenpeace,"national social movement organisation, initiative, network",,,,,,,,,,,,,,1,0,0,1,0
A,2006,Die Presse,Bürger und Regionen dagegen_06.04.2006_23,Bürger und Regionen dagegen,06 Apr 06,23,WIR Economist,2000 Menschen demonstrieren vor dem Wiener Kongresszentrum im Prater gegen Gentechnik.,Unknown,A: Wien,0,1,protest meeting,2000,,2000,1,no campaign,Environment/animal,,,ou3 environment/sustainability,,,,,,,,,0,,,European,EU in general,,,0,0,0,0,,,,,,,,,,,,,,,"keine Angabe zu Tag, Organisatoren und eher vage zu Adressat",,,0,0,1,0,1
A,2001,Die Presse,Nach harter Kritik an_14.11.2001_missing,Nach harter Kritik an,14 Nov 01,,,"NGOs protestieren vor Parlament gegen Informationssicherheitsgesetz, das der Umsetzung eines EU-Beschlusses dient.",Tuesday,A: Wien,0,1,protest meeting,,,500,0,no campaign,Human rights or so,,,c3 multiculturalist-universalist,c3 multiculturalist-universalist,c3 multiculturalist-universalist,,,,,,,0,,,national,National state actor,,,0,0,0,2,Global 2000,"national social movement organisation, initiative, network",SOS Mitmensch,"national social movement organisation, initiative, network",,,,,,,,,,,,,,1,0,0,1,0
A,2006,Die Presse,Gegen den ruinösen Wettbewerb_21.01.2006_6,Gegen den ruinösen Wettbewerb,21 Jan 06,6,APO Europa,ÖGB-Gewerkschafter demonstrieren anlässlich des EU-Sozialministertreffens in Villach für eine Verbesserung der Lebens- und Arbeitsbedingungen durch Mindeststandards und gegen die Dienstleistungsrichtlinie.,Friday,A: Villach,0,1,protest meeting,700,,700,0,no campaign,Social/labor,Market/liberalization,Social/labor,,,,e1 labour & social security,ou5 other utilitarian,ou3 environment/sustainability,e1 labour & social security,,,,0,1,European,Council of Ministers,,,0,0,0,1,ÖGB,national trade union ,,,,,,,,,,,,,,,,1,1,1,1,0
A,2003,Die Presse,"""Kelomat-Deckel ist weg""_13.02.2003_6","""Kelomat-Deckel ist weg""",13 Feb 03,6,Ausland/Europa-Panorama,"Transitgegner aus A, I, F und CH (Tiroler Grüne, andere Grüne Parteien, Bürgerinitiativen) agitieren in Straßburg vor EU-Parlament gegen Transitverkehr.",Unknown,F: Strasbourg,1,1,protest meeting,,,500,1,no campaign,Transport,Transport,,,,,,,,,,,,,,European,European Parliament,,,0,0,0,6,Grüne Tirol,subnational party  ,Grüne Parteien (mehrere),national party ,Bürgerinitiativen,"subnational social movement organisation, initiative, network",Grüne Italien,national party ,Bürgerinitiativen aus F,"subnational social movement organisation, initiative, network",Grüne Oberösterreich,subnational party  ,,,,,,1,,1,1,1
A,2007,Die Presse,inkürze_29.10.2007_18,inkürze,29 Oct 07,18,WIR Economist,Trafikanten aus ganz Österreich demonstrieren am Sonntag am Grenzübergang Lavamünd (Kärnten/Slowenien) gegen den Wegfall der 25 Stück Einfuhrbeschränkungen für Zigaretten.,Sunday,A: Lavamünd,0,1,protest meeting,900,,900,0,no campaign,Market/liberalization,,,e1 labour & social security,,,,,,,,,0,,,European,EU in general,,,0,0,0,0,Trafikanten (Besitzer von Tabakläden),national interest association,,,,,,,,,,,,,Infos aus mehreren Artikeln; keine Organisation genannt,,,1,0,1,1,0
A,2007,Die Presse,Matte Mobilisierung gegen den _05.12.2007_5,Matte Mobilisierung gegen den,05 Dec 07,5,APO Europa,"Kundgebung des BZÖ in Klagenfurt anlässlich der Unterschriftensammlung für eine Kärntner Volksbefragung über den EU Vertrag unter dem Motto ""Wir Patrioten gegen die EU-Chaoten"".",Sunday,A: Klagenfurt,0,1,protest meeting,,,500,0,national campaign,EU integration (general),EU integration (general),EU integration (general),,,,c2 nationalistic-institutional,,,,,,,0,,subnational,National state actor,,,0,0,0,1,BZÖ,national party ,,,,,,,,,,,,,"Zusatzartikel:  26.11.2007 ""Herr im eigenen Haus""",,,1,,0,1,0
A,2008,Die Presse,Zerstrittene EU-Gegner_05.04.2008_7,Zerstrittene EU-Gegner,05 Apr 08,7,,"Vor der für Mittwoch geplanten Ratifizierung des EU-Vertrages im Nationalrat hält die FPÖ am Freitag am Ballhausplatz eine Protestkundgebung ab. Immer noch soll eine Volksabstimmung initiiert werden, außerdem spricht die FPÖ von einer Entmündig",Friday,A: Wien,0,1,protest meeting,,,500,0,national campaign,EU integration (general),EU integration (general),Peace/foreign affairs,,,,c2 nationalistic-institutional,,,,,,,0,,national,National state actor,,,0,0,0,1,FPÖ,national party ,,,,,,,,,,,,,,,,1,,0,1,0
A,1997,Die Presse,"Kapital-Haie, ""Vickler"" und_28.05.1997_missing","Kapital-Haie, ""Vikerl"" und",28 May 97,,,"4000 Teilnehmer bei ÖGB-Kundgebung am Ballhausplatz unter dem Slogan ""Europa Braucht Arbeit"" als Teil europaweiter Demonstrationen von Gewerkschaften für Arbeit in Europa",Tuesday,A: Wien,0,1,protest meeting,6000,2000,4000,0,European campaign,Social/labor,EU integration (general),Social/labor,e1 labour & social security,,,e1 labour & social security,,,e1 labour & social security,,,1,1,1,national,National state actor,European,EU in general,0,0,0,3,ÖGB,national trade union ,Bundesregierung (SPÖ/ÖVP),national party ,,,,,,,,,,,"Adressat ist die Österreichische Regierung, welche jedoch gleichzeitig die Forderungen unterstützt und Reden hält. Osterweiterung: ÖGB nicht gegen Osterweiterung, stellt aber (erfüllbare) Bedingungen (deshalb quality 0)",,,1,1,1,1,1
A,2005,Die Presse,Bauern gehen auf Straße_24.06.2005_19,Bauern gehen auf Straße,24 Jun 05,19,WIR Economist,"1000 Landwirte protestieren am Messegelände Wien gegen Agrar-Kürzungspläne der sozialdemokratischen Parteichefs, die auf Einlandung von Alfred Gusenbauer nach Wien gekommen sind.",Unknown,A: Wien,0,1,protest meeting,,,500,0,no campaign,Agriculture,Agriculture,Social/labor,e1 labour & social security,ou3 environment/sustainability,not attachable,,,,,,,0,,,European,Party actor,,,0,0,0,1,Bauernbund,national party ,,,,,,,,,,,,,"Frame aus Zusatzartikel Interview Grillitsch (24.6.): ""Bauern gehen verloren, schützt vor BSE, gegen Blairs sozialistisches Europa""",,,1,0,1,1,0
A,2009,Die Presse,Preisverfall: Heftige Proteste der_15.09.2009_28,Preisverfall: Heftige Proteste der,15 Sep 09,28,ALL na,"Auch am Linzer Hauptplatz kam es zu Protesten von Milchbauern. Organisiert von der IG Milch wenden sich die Bauern gegen die ""verfehlte Agrarpolitik"" der EU aber auch gegen die nationale Politik.",Monday,A: Linz,0,1,protest meeting,,,500,0,European campaign,Agriculture,Agriculture,Agriculture,e1 labour & social security,,,e1 labour & social security,,,,,,0,0,,national,National state actor,European,EU in general,0,0,0,1,IG Milch,national interest association,,,,,,,,,,,,,,,,1,0,1,1,1
A,1997,Die Presse,Hunderte gegen Tiertransporte_15.02.1997_missing,Hunderte gegen Tiertransporte,15 Feb 97,,,Kundgebung/Verteilung von Flugzetteln mit 300 bis 400 TeilnehmerInnen  am Gernzübergang Salzburg-Walserberg gegen EU-Prämien für Lebendtiertransporte,Friday,A: Walserberg,0,1,protest meeting,400,300,350,1,no campaign,Environment/animal,,,,,,,,,,,,,,,European,EU in general,,,0,0,0,0,Parlamentarier aus Österreich,national party ,Parlamentarier aus Bayern,subnational party  ,"""Demonstranten""",,,,,,,,,,,,,1,,1,1,1
A,1998,Die Presse,Mit der Heugabel gegen _01.07.1998_missing,Mit der Heugabel gegen,01 Jul 98,,,"Die Jungbauernschaft des VP-Bauernbundes hielten am Dienstag vor dem Parlament in Wien eine Protestkundgebung gegen die EU Marktliberalisierung und die geplanten Änderungen im Rahmen der Agenda 2000 ab. Unterstützt von einer ""Agenda Scheuche"" a",Tuesday,A: Wien,0,1,protest meeting,,,500,0,no campaign,Agriculture,Agriculture,Agriculture,c3 multiculturalist-universalist,ou3 environment/sustainability,e1 labour & social security,ou5 other utilitarian,,,e1 labour & social security,,,0,1,0,European,EU in general,,,0,0,0,1,Jungbauernschaft des Bauernbundes (ÖVP),national party ,,,,,,,,,,,,,,,,1,1,1,1,0
